rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,time/fps,train/n_updates,train/actor_loss,time/total_timesteps,rollout/success_rate,train/ent_coef,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef_loss
-96.1875,0.44669740996323526,96.25,9,64,-4.485356841236353,3200,0.0625,0.9968423126265407,347,4,0.0001,-0.015978948949850746
-96.1875,,96.25,9,,,3200,0.0625,,347,8,,
-96.1875,,96.25,9,,,3200,0.0625,,347,12,,
-96.1875,,96.25,9,,,3200,0.0625,,347,16,,
-96.1875,,96.25,9,,,3200,0.0625,,347,20,,
-96.1875,,96.25,9,,,3200,0.0625,,347,24,,
-96.1875,,96.25,9,,,3200,0.0625,,347,28,,
-96.1875,,96.25,9,,,3200,0.0625,,347,32,,
-91.88888888888889,0.13695607939735055,92.02777777777777,6,128,-7.0209289491176605,4672,0.1388888888888889,0.9904616950079799,674,36,0.0001,-0.04841053346171975
-95.4375,0.25643751956522465,95.515625,6,192,-9.232216708362103,6400,0.078125,0.9841326586902142,1004,40,0.0001,-0.08079932420514524
-95.4375,,95.515625,6,,,6400,0.078125,,1004,44,,
-95.4375,,95.515625,6,,,6400,0.078125,,1004,48,,
-95.4375,,95.515625,6,,,6400,0.078125,,1004,52,,
-95.4375,,95.515625,6,,,6400,0.078125,,1004,56,,
-95.4375,,95.515625,6,,,6400,0.078125,,1004,60,,
-95.4375,,95.515625,6,,,6400,0.078125,,1004,64,,
-94.77941176470588,,94.86764705882354,7,,,7808,0.08823529411764706,,1027,68,,
-93.08333333333333,,93.20833333333333,7,,,8192,0.125,,1034,72,,
-92.4342105263158,0.2861194007564336,92.59210526315789,6,256,-11.341096356511116,8992,0.15789473684210525,0.9778479775413871,1349,76,0.0001,-0.11314902373123914
-93.30927835051547,,93.45360824742268,7,,,9600,0.14432989690721648,,1359,80,,
-93.30927835051547,,93.45360824742268,7,,,9600,0.14432989690721648,,1359,84,,
-93.30927835051547,,93.45360824742268,7,,,9600,0.14432989690721648,,1359,88,,
-93.30927835051547,,93.45360824742268,7,,,9600,0.14432989690721648,,1359,92,,
-93.30927835051547,,93.45360824742268,7,,,9600,0.14432989690721648,,1359,96,,
-93.51,0.5260597268352285,93.65,6,320,-13.62383459508419,10976,0.14,0.9716054201126099,1683,100,0.0001,-0.14549138979054987
-93.79,,93.93,6,,,11072,0.14,,1686,104,,
-92.33,,92.5,6,,,11360,0.17,,1691,108,,
-92.33,,92.5,7,,,12000,0.17,,1702,112,,
-91.68,0.3748701341683045,91.86,6,384,-14.697197794914246,12800,0.18,0.965403969399631,2018,116,0.0001,-0.1777801774442196
-91.68,,91.86,6,,,12800,0.18,,2018,120,,
-91.68,,91.86,6,,,12800,0.18,,2018,124,,
-91.68,,91.86,6,,,12800,0.18,,2018,128,,
-90.8,,91.0,6,,,13568,0.2,,2030,132,,
-91.92,,92.1,6,,,14208,0.18,,2042,136,,
-91.92,,92.1,7,,,14336,0.18,,2045,140,,
-91.45,0.41464044095482677,91.64,6,448,-15.568866237998009,14592,0.19,0.959243499673903,2350,144,0.0001,-0.21013787714764476
-90.66,,90.87,6,,,15040,0.21,,2359,148,,
-90.17,,90.39,6,,,15904,0.22,,2373,152,,
-90.17,,90.39,6,,,16000,0.22,,2375,156,,
-90.17,,90.39,6,,,16000,0.22,,2375,160,,
-90.17,,90.39,6,,,16032,0.22,,2375,164,,
-89.24,0.5600424325093627,89.48,6,512,-16.392999440431595,17024,0.24,0.953121573664248,2694,168,0.0001,-0.24252349114976823
-90.67,,90.88,6,,,17408,0.21,,2700,172,,
-90.92,,91.11,6,,,17664,0.19,,2705,176,,
-91.21,,91.39,6,,,17792,0.18,,2708,180,,
-91.21,,91.39,6,,,18400,0.18,,2720,184,,
-90.13,0.7144267580006272,90.33,6,576,-17.426729053258896,19104,0.2,0.9470382742583752,3034,188,0.0001,-0.27487919479608536
-90.13,,90.33,6,,,19200,0.2,,3035,192,,
-90.13,,90.33,6,,,19200,0.2,,3035,196,,
-89.74,,89.95,6,,,19648,0.21,,3043,200,,
-90.68,,90.87,6,,,20416,0.19,,3057,204,,
-92.14,0.6761563834734261,92.3,6,640,-18.354091703891754,20864,0.16,0.9409943101927638,3367,208,0.0001,-0.30716858291998506
-92.14,,92.3,6,,,20992,0.16,,3370,212,,
-92.79,,92.94,6,,,21600,0.15,,3380,216,,
-92.79,,92.94,6,,,22304,0.15,,3393,220,,
-92.79,,92.94,6,,,22400,0.15,,3395,224,,
-92.79,,92.94,6,,,22400,0.15,,3395,228,,
-93.67,0.6118848716141656,93.8,6,704,-19.38482442498207,22848,0.13,0.9349901732057333,3704,232,0.0001,-0.33951598266139627
-94.25,,94.37,6,,,23616,0.12,,3716,236,,
-93.77,,93.9,6,,,23872,0.13,,3722,240,,
-94.68,,94.79,6,,,24192,0.11,,3728,244,,
-95.03,,95.13,6,,,24512,0.1,,3733,248,,
-95.03,0.602962541161105,95.13,6,768,-19.477941572666168,25280,0.1,0.929024500772357,4046,252,0.0001,-0.3717928742989898
-94.47,,94.58,6,,,25600,0.11,,4052,256,,
-94.47,,94.58,6,,,25600,0.11,,4052,260,,
-94.47,,94.58,6,,,25632,0.11,,4053,264,,
-96.03,,96.11,6,,,26368,0.08,,4066,268,,
-95.36,0.5646237407345325,95.45,6,832,-19.381142884492874,26976,0.09,0.9230963261798024,4377,272,0.0001,-0.40416221460327506
-95.37,,95.46,6,,,27264,0.09,,4383,276,,
-95.36,,95.45,6,,,27392,0.09,,4385,280,,
-94.63,,94.73,6,,,27776,0.1,,4394,284,,
-94.74,,94.84,6,,,28352,0.1,,4404,288,,
-94.28,0.6053823500405997,94.39,6,896,-19.11094433069229,28736,0.11,0.9172066953033209,4711,292,0.0001,-0.43647705018520355
-94.67,,94.77,6,,,28800,0.1,,4713,296,,
-94.67,,94.77,6,,,28832,0.1,,4714,300,,
-94.14,,94.25,6,,,29568,0.11,,4727,304,,
-94.14,,94.25,6,,,30272,0.11,,4739,308,,
-94.14,,94.25,6,,,30592,0.11,,4744,312,,
-94.14,0.527448802953586,94.25,6,960,-18.843693792819977,30976,0.11,0.9113542772829533,5052,316,0.0001,-0.4687912813387811
-94.14,,94.25,6,,,31552,0.11,,5062,320,,
-94.14,,94.25,6,,,31936,0.11,,5070,324,,
-94.14,,94.25,6,,,32000,0.11,,5072,328,,
-94.14,,94.25,6,,,32032,0.11,,5073,332,,
-94.14,,94.25,6,,,32768,0.11,,5084,336,,
-94.62,0.47482192527968436,94.72,6,1024,-18.62775209546089,33472,0.1,0.905540150590241,5395,340,0.0001,-0.501131234690547
-94.24,,94.35,6,,,33760,0.11,,5402,344,,
-94.24,,94.35,6,,,34048,0.11,,5407,348,,
-94.18,,94.29,6,,,34688,0.11,,5418,352,,
-94.74,0.4563105715205893,94.84,6,1088,-18.39653590321541,35104,0.1,0.8997621890157461,5725,356,0.0001,-0.5334685361012816
-94.74,,94.84,6,,,35200,0.1,,5728,360,,
-94.74,,94.84,6,,,35200,0.1,,5728,364,,
-94.36,,94.47,6,,,35648,0.11,,5737,368,,
-95.03,,95.13,6,,,36672,0.1,,5753,372,,
-95.54,0.49322194478008896,95.63,6,1152,-18.335503816604614,36960,0.09,0.894021525979042,6058,376,0.0001,-0.56573570612818
-96.0,,96.08,6,,,37248,0.08,,6063,380,,
-96.73,,96.8,6,,,37888,0.07,,6076,384,,
-97.19,,97.25,6,,,38272,0.06,,6082,388,,
-97.65,,97.7,6,,,38400,0.05,,6085,392,,
-97.65,,97.7,6,,,38400,0.05,,6085,396,,
-98.18,,98.22,6,,,38848,0.04,,6093,400,,
-98.18,0.5148853668943048,98.22,6,1216,-18.43152767419815,39488,0.04,0.8883182108402252,6403,404,0.0001,-0.5980394333600998
-97.73,,97.78,6,,,40160,0.05,,6416,408,,
-97.73,,97.78,6,,,40224,0.05,,6417,412,,
-97.49,,97.55,6,,,40800,0.06,,6426,416,,
-97.49,0.5258723280858248,97.55,6,1280,-17.87179470062256,41280,0.06,0.8826512880623341,6734,420,0.0001,-0.6304366951808333
-97.49,,97.55,6,,,41600,0.06,,6740,424,,
-97.49,,97.55,6,,,41600,0.06,,6740,428,,
-96.98,,97.05,6,,,41824,0.07,,6746,432,,
-96.32,,96.4,6,,,42144,0.08,,6751,436,,
-95.71,,95.8,6,,,42880,0.09,,6763,440,,
-96.09,0.3685367510188371,96.17,6,1344,-17.699703365564346,43360,0.08,0.8770202724263072,7071,444,0.0001,-0.6626459881663322
-96.01,,96.09,6,,,43744,0.08,,7078,448,,
-96.56,,96.63,6,,,44352,0.07,,7090,452,,
-96.56,,96.63,6,,,44768,0.07,,7098,456,,
-96.56,,96.63,6,,,44800,0.07,,7098,460,,
-96.56,,96.63,6,,,45024,0.07,,7103,464,,
-96.94,0.3740039326949045,97.0,6,1408,-17.384862005710602,45344,0.06,0.8714249916374683,7407,468,0.0001,-0.6951367501169443
-96.94,,97.0,6,,,46080,0.06,,7421,472,,
-96.94,,97.0,6,,,46560,0.06,,7430,476,,
-96.94,,97.0,6,,,46944,0.06,,7437,480,,
-96.41,0.36524829897098243,96.48,6,1472,-17.09883514046669,47488,0.07,0.8658652324229479,7744,484,0.0001,-0.7272512577474117
-96.92,,96.98,6,,,47904,0.06,,7753,488,,
-96.92,,96.98,6,,,48000,0.06,,7755,492,,
-96.92,,96.98,6,,,48192,0.06,,7758,496,,
-96.92,,96.98,6,,,48448,0.06,,7763,500,,
-96.92,0.7372480754274875,96.98,6,1536,-17.418430000543594,49280,0.06,0.8603418860584497,8075,504,0.0001,-0.7596673490479589
-97.37,,97.42,6,,,49760,0.05,,8084,508,,
-96.53,,96.6,6,,,49888,0.07,,8088,512,,
-96.77,,96.83,6,,,50240,0.06,,8095,516,,
-96.77,,96.83,6,,,51072,0.06,,8108,520,,
-96.2,,96.27,6,,,51200,0.07,,8111,524,,
-96.2,,96.27,6,,,51200,0.07,,8111,528,,
-96.71,1.0166305212769657,96.77,6,1600,-18.880368262529373,51520,0.06,0.8548528384417295,8415,532,0.0001,-0.7921195672824979
-97.37,,97.42,6,,,52480,0.05,,8432,536,,
-96.83,,96.89,6,,,52832,0.06,,8438,540,,
-96.77,,96.83,6,,,52992,0.06,,8441,544,,
-96.85,0.7372567930724472,96.91,6,1664,-20.249277114868164,53344,0.06,0.8493982637301087,8745,548,0.0001,-0.8245096011087298
-96.85,,96.91,6,,,53952,0.06,,8756,552,,
-96.85,,96.91,6,,,54368,0.06,,8765,556,,
-96.85,,96.91,6,,,54400,0.06,,8765,560,,
-96.85,,96.91,6,,,54624,0.06,,8769,564,,
-96.85,0.46461206348612905,96.91,6,1728,-19.539690256118774,55680,0.06,0.8439782178029418,9084,568,0.0001,-0.8567628283053637
-96.38,,96.45,6,,,55968,0.07,,9090,572,,
-96.05,,96.13,6,,,56128,0.08,,9093,576,,
-96.05,,96.13,6,,,56288,0.08,,9098,580,,
-96.58,,96.65,6,,,56640,0.07,,9104,584,,
-95.67,0.4749207100830972,95.76,6,1792,-18.800710916519165,57472,0.09,0.83859380800277,9415,588,0.0001,-0.8889231057837605
-95.67,,95.76,6,,,57600,0.09,,9418,592,,
-95.67,,95.76,6,,,57792,0.09,,9421,596,,
-95.19,,95.29,6,,,58240,0.1,,9429,600,,
-94.74,,94.85,6,,,59008,0.11,,9443,604,,
-94.74,,94.85,6,,,59232,0.11,,9447,608,,
-95.58,,95.67,6,,,59392,0.09,,9450,612,,
-95.58,0.3997532663634047,95.67,6,1856,-18.123169362545013,59776,0.09,0.8332439363002777,9755,616,0.0001,-0.9215535968542099
-95.24,,95.34,6,,,60288,0.1,,9764,620,,
-95.81,,95.9,6,,,60800,0.09,,9774,624,,
-95.81,,95.9,6,,,60832,0.09,,9775,628,,
-95.81,,95.9,6,,,61440,0.09,,9784,632,,
-95.81,0.3312306522857398,95.9,6,1920,-17.581387013196945,62208,0.09,0.827927166596055,10096,636,0.0001,-0.953664580360055
-96.32,,96.4,6,,,62432,0.08,,10100,640,,
-96.57,,96.65,6,,,62560,0.08,,10104,644,,
-96.57,,96.65,6,,,62848,0.08,,10109,648,,
-96.57,,96.65,6,,,63392,0.08,,10118,652,,
-96.49,0.2809808161109686,96.57,6,1984,-17.045076370239258,64000,0.08,0.8226452488452196,10427,656,0.0001,-0.9860092606395483
-96.49,,96.57,6,,,64032,0.08,,10428,660,,
-96.18,,96.27,6,,,64320,0.09,,10433,664,,
-95.36,,95.47,6,,,65024,0.11,,10446,668,,
-95.83,0.249412975856103,95.93,6,2048,-16.577368199825287,65568,0.1,0.8173967795446515,10754,672,0.0001,-1.0183763224631548
-96.16,,96.25,6,,,65728,0.09,,10757,676,,
-96.16,,96.25,6,,,66048,0.09,,10763,680,,
-96.16,,96.25,6,,,66592,0.09,,10772,684,,
-95.9,,95.99,6,,,67072,0.09,,10781,688,,
-95.9,,95.99,6,,,67200,0.09,,10784,692,,
-95.9,,95.99,6,,,67424,0.09,,10788,696,,
-96.38,0.2829751643585041,96.46,6,2112,-16.16366672515869,67712,0.08,0.8121822457760572,11090,700,0.0001,-1.050641492009163
-96.33,,96.41,6,,,68288,0.08,,11100,704,,
-96.33,,96.41,6,,,68832,0.08,,11110,708,,
-95.68,,95.77,6,,,68992,0.09,,11115,712,,
-95.68,,95.77,6,,,69536,0.09,,11124,716,,
-96.02,0.2616967532085255,96.1,6,2176,-15.718000993132591,70144,0.08,0.8070006556808949,11433,720,0.0001,-1.0830121338367462
-96.02,,96.1,6,,,70400,0.08,,11437,724,,
-96.02,,96.1,6,,,70592,0.08,,11441,728,,
-96.02,,96.1,6,,,70816,0.08,,11445,732,,
-95.62,,95.71,6,,,71424,0.09,,11456,736,,
-95.16,0.24719010468106717,95.26,6,2240,-15.345622554421425,71904,0.1,0.8018524404615164,11762,740,0.0001,-1.11537910066545
-95.61,,95.7,6,,,72160,0.09,,11767,744,,
-95.21,,95.31,6,,,72384,0.1,,11771,748,,
-94.66,,94.77,6,,,72992,0.11,,11781,752,,
-94.74,,94.85,6,,,73504,0.11,,11790,756,,
-94.24,,94.36,6,,,73600,0.12,,11792,760,,
-94.95,0.24575183331035078,95.05,6,2304,-15.017270252108574,73920,0.1,0.7967359693720937,12096,764,0.0001,-1.14786421880126
-95.37,,95.46,6,,,74208,0.09,,12101,768,,
-95.37,,95.46,6,,,75104,0.09,,12115,772,,
-95.37,,95.46,6,,,75360,0.09,,12121,776,,
-95.37,,95.46,6,,,75584,0.09,,12125,780,,
-95.37,0.2116161355515942,95.46,6,2368,-14.722881436347961,76192,0.09,0.7916525937616825,12434,784,0.0001,-1.1799214947968721
-96.54,,96.61,6,,,76704,0.07,,12443,788,,
-96.54,,96.61,6,,,76800,0.07,,12445,792,,
-96.54,,96.61,6,,,77120,0.07,,12450,796,,
-96.54,,96.61,6,,,77408,0.07,,12456,800,,
-97.04,0.19857660972047597,97.1,6,2432,-14.447786897420883,78304,0.06,0.786601722240448,12769,804,0.0001,-1.2125395350158215
-97.04,,97.1,6,,,78560,0.06,,12774,808,,
-97.69,,97.74,6,,,78784,0.05,,12779,812,,
-97.69,,97.74,6,,,79392,0.05,,12789,816,,
-97.69,0.1873580238316208,97.74,6,2496,-14.203524067997932,79904,0.05,0.7815828919410706,13096,820,0.0001,-1.2445214129984379
-97.69,,97.74,6,,,80000,0.05,,13098,824,,
-97.69,,97.74,6,,,80320,0.05,,13104,828,,
-97.69,,97.74,6,,,80608,0.05,,13110,832,,
-97.13,,97.19,6,,,81376,0.06,,13122,836,,
-97.48,,97.53,6,,,81632,0.05,,13128,840,,
-97.48,,97.53,6,,,81792,0.05,,13131,844,,
-97.5,0.20479534845799208,97.55,6,2560,-13.983756422996521,82048,0.05,0.7765968153253198,13433,848,0.0001,-1.2771945875138044
-97.51,,97.56,6,,,82688,0.05,,13444,852,,
-96.32,,96.39,6,,,83072,0.07,,13450,856,,
-96.82,,96.88,6,,,83200,0.06,,13452,860,,
-96.82,,96.88,6,,,83520,0.06,,13458,864,,
-96.82,0.19110328517854214,96.88,6,2624,-13.751614674925804,84224,0.06,0.7716418672353029,13768,868,0.0001,-1.3093566540628672
-96.82,,96.88,6,,,84608,0.06,,13775,872,,
-96.82,,96.88,6,,,84992,0.06,,13782,876,,
-96.82,,96.88,6,,,85248,0.06,,13786,880,,
-96.82,,96.88,6,,,85888,0.06,,13796,884,,
-96.82,0.18363704171497375,96.88,6,2688,-13.531826347112656,86272,0.06,0.7667190060019493,14100,888,0.0001,-1.3416416123509407
-96.82,,96.88,6,,,86400,0.06,,14104,892,,
-96.82,,96.88,6,,,86720,0.06,,14110,896,,
-96.82,,96.88,6,,,87424,0.06,,14122,900,,
-96.82,,96.88,6,,,87808,0.06,,14129,904,,
-96.71,0.18430711328983307,96.77,6,2752,-13.302068054676056,88096,0.06,0.7618285268545151,14432,908,0.0001,-1.373581226915121
-96.71,,96.77,6,,,88416,0.06,,14439,912,,
-96.71,,96.77,6,,,89088,0.06,,14451,916,,
-96.71,,96.77,6,,,89472,0.06,,14457,920,,
-96.71,,96.77,6,,,89600,0.06,,14460,924,,
-96.55,,96.62,6,,,89920,0.07,,14465,928,,
-96.55,0.20445872575510293,96.62,6,2816,-13.055316358804703,90624,0.07,0.75696921069175,14776,932,0.0001,-1.4058122523128986
-97.51,,97.56,6,,,91008,0.05,,14782,936,,
-97.62,,97.67,6,,,91296,0.05,,14787,940,,
-97.62,,97.67,6,,,91616,0.05,,14793,944,,
-98.0,0.15919506619684398,98.04,6,2880,-12.80287018418312,92288,0.04,0.7521408051252365,15101,948,0.0001,-1.4385967254638672
-98.53,,98.56,6,,,92672,0.03,,15110,952,,
-99.14,,99.16,6,,,92800,0.02,,15112,956,,
-99.14,,99.16,6,,,93024,0.02,,15116,960,,
-99.14,,99.16,6,,,93408,0.02,,15123,964,,
-99.14,,99.16,6,,,94208,0.02,,15136,968,,
-99.14,0.16867850814014673,99.16,6,2944,-12.552332043647766,94496,0.02,0.7473427476361394,15439,972,0.0001,-1.4707782566547394
-99.14,,99.16,6,,,94816,0.02,,15446,976,,
-99.14,,99.16,6,,,95488,0.02,,15457,980,,
-98.64,,98.67,6,,,95840,0.03,,15463,984,,
-98.64,,98.67,6,,,96000,0.03,,15466,988,,
-98.64,,98.67,6,,,96192,0.03,,15469,992,,
-98.64,0.15609113161917776,98.67,6,3008,-12.346604645252228,96416,0.03,0.7425749767571688,15771,996,0.0001,-1.5030440874397755
-97.96,,98.0,6,,,97056,0.04,,15783,1000,,
-97.88,,97.92,6,,,97632,0.04,,15793,1004,,
-96.96,,97.02,6,,,97888,0.06,,15798,1008,,
-96.47,,96.54,6,,,98272,0.07,,15804,1012,,
-96.47,0.16860554623417556,96.54,6,3072,-12.120202764868736,98880,0.07,0.7378376880660653,16112,1016,0.0001,-1.535679493099451
-96.47,,96.54,6,,,99072,0.07,,16115,1020,,
-96.63,,96.69,6,,,99200,0.06,,16119,1024,,
-96.63,,96.69,6,,,99520,0.06,,16125,1028,,
-95.87,,95.95,6,,,99936,0.08,,16132,1032,,
-95.87,0.14414940710412338,95.95,6,3136,-11.90565137565136,100608,0.08,0.7331313220784068,16440,1036,0.0001,-1.5671159103512764
-95.18,,95.27,6,,,100896,0.09,,16446,1040,,
-94.73,,94.83,6,,,101088,0.1,,16450,1044,,
-94.61,,94.72,6,,,101664,0.11,,16461,1048,,
-95.2,,95.3,6,,,102176,0.1,,16469,1052,,
-95.2,,95.3,6,,,102336,0.1,,16472,1056,,
-94.19,0.149589613545686,94.31,6,3200,-11.714514002203941,102496,0.12,0.728455601260066,16772,1060,0.0001,-1.5998029224574566
-94.19,,94.31,6,,,102720,0.12,,16777,1064,,
-93.53,,93.66,6,,,103424,0.13,,16790,1068,,
-93.53,,93.66,6,,,103936,0.13,,16799,1072,,
-93.53,,93.66,6,,,104288,0.13,,16805,1076,,
-93.02,0.1382862936006859,93.16,6,3264,-11.525276646018028,104640,0.14,0.7238089265301824,17108,1080,0.0001,-1.6323375385254622
-93.52,,93.65,6,,,105312,0.13,,17119,1084,,
-93.52,,93.65,6,,,105472,0.13,,17122,1088,,
-93.52,,93.65,6,,,105600,0.13,,17126,1092,,
-93.52,,93.65,6,,,105920,0.13,,17132,1096,,
-94.2,0.12945190392201766,94.32,6,3328,-11.34505021572113,106624,0.12,0.7191913332790136,17440,1100,0.0001,-1.664611330255866
-94.28,,94.4,6,,,107136,0.12,,17449,1104,,
-95.31,,95.41,6,,,107488,0.1,,17455,1108,,
-95.38,,95.48,6,,,107808,0.1,,17462,1112,,
-95.38,,95.48,6,,,108480,0.1,,17474,1116,,
-95.38,0.13276674901135266,95.48,6,3392,-11.121594801545143,108672,0.1,0.714603278785944,17775,1120,0.0001,-1.6970155723392963
-95.38,,95.48,6,,,108800,0.1,,17778,1124,,
-94.88,,94.99,6,,,108992,0.11,,17781,1128,,
-95.64,,95.73,6,,,109536,0.09,,17791,1132,,
-94.69,,94.8,6,,,110176,0.11,,17803,1136,,
-95.38,,95.48,6,,,110560,0.1,,17809,1140,,
-95.83,0.1368132196366787,95.92,6,3456,-10.907553017139435,110720,0.09,0.7100448114797473,18109,1144,0.0001,-1.7294197715818882
-95.95,,96.03,6,,,111488,0.08,,18122,1148,,
-95.95,,96.03,6,,,111872,0.08,,18129,1152,,
-95.95,,96.03,6,,,112000,0.08,,18133,1156,,
-96.96,,97.02,6,,,112192,0.06,,18137,1160,,
-96.96,0.12063102616230026,97.02,6,3520,-10.729526489973068,112736,0.06,0.7055143807083368,18443,1164,0.0001,-1.7620230615139008
-97.62,,97.67,6,,,113376,0.05,,18453,1168,,
-97.62,,97.67,6,,,113760,0.05,,18459,1172,,
-97.62,,97.67,6,,,113920,0.05,,18462,1176,,
-97.78,,97.83,6,,,114304,0.05,,18470,1180,,
-97.78,0.1287195107433945,97.83,6,3584,-10.520459100604057,115040,0.05,0.7010132558643818,18779,1184,0.0001,-1.7938543036580086
-97.31,,97.37,6,,,115136,0.06,,18781,1188,,
-97.31,,97.37,6,,,115264,0.06,,18784,1192,,
-97.31,,97.37,6,,,115616,0.06,,18790,1196,,
-97.31,,97.37,6,,,116256,0.06,,18801,1200,,
-96.81,,96.88,6,,,116736,0.07,,18810,1204,,
-96.81,0.11289441940607503,96.88,6,3648,-10.342197671532631,117088,0.07,0.6965407524257898,19112,1208,0.0001,-1.8264918122440577
-97.23,,97.29,6,,,117472,0.06,,19119,1212,,
-97.23,,97.29,6,,,118240,0.06,,19132,1216,,
-97.23,,97.29,6,,,118336,0.06,,19134,1220,,
-97.23,,97.29,6,,,118464,0.06,,19136,1224,,
-97.73,0.1148285151575692,97.78,6,3712,-10.155442461371422,118816,0.05,0.6920974217355251,19439,1228,0.0001,-1.8580633457750082
-97.18,,97.24,6,,,119424,0.06,,19451,1232,,
-98.13,,98.17,6,,,119808,0.04,,19458,1236,,
-98.03,,98.07,6,,,120288,0.04,,19466,1240,,
-97.64,,97.69,6,,,120416,0.05,,19469,1244,,
-97.02,0.11850807018345222,97.08,6,3776,-9.962457224726677,121056,0.06,0.6876833802089095,19775,1248,0.0001,-1.8904822524636984
-97.02,,97.08,6,,,121472,0.06,,19784,1252,,
-96.4,,96.47,6,,,121600,0.07,,19787,1256,,
-96.01,,96.09,6,,,121760,0.08,,19790,1260,,
-96.01,,96.09,6,,,122336,0.08,,19799,1264,,
-96.01,,96.09,6,,,122656,0.08,,19804,1268,,
-95.65,0.11748804477974772,95.74,6,3840,-9.758359894156456,123136,0.09,0.6832975409924984,20109,1272,0.0001,-1.9229452852159739
-95.65,,95.74,6,,,123584,0.09,,20119,1276,,
-96.0,,96.08,6,,,124256,0.08,,20130,1280,,
-94.87,,94.97,6,,,124640,0.1,,20137,1284,,
-95.34,,95.43,6,,,124736,0.09,,20139,1288,,
-95.34,,95.43,6,,,124864,0.09,,20142,1292,,
-95.34,0.10955544840544462,95.43,6,3904,-9.557690903544426,125184,0.09,0.6789390640333295,20443,1296,0.0001,-1.95493339933455
-95.34,,95.43,6,,,125824,0.09,,20455,1300,,
-95.84,,95.92,6,,,126272,0.08,,20463,1304,,
-95.84,,95.92,6,,,126784,0.08,,20472,1308,,
-95.84,0.10804682475281879,95.92,6,3968,-9.377350315451622,127456,0.08,0.6746084876358509,20780,1312,0.0001,-1.987585086375475
-95.84,,95.92,6,,,127840,0.08,,20788,1316,,
-95.84,,95.92,6,,,127936,0.08,,20790,1320,,
-95.84,,95.92,6,,,128064,0.08,,20793,1324,,
-95.84,,95.92,6,,,128384,0.08,,20799,1328,,
-95.76,,95.84,6,,,128768,0.08,,20805,1332,,
-95.76,0.1073095643077977,95.84,6,4032,-9.191550955176353,129312,0.08,0.6703056562691927,21110,1336,0.0001,-2.019713368266821
-95.35,,95.44,6,,,129760,0.09,,21118,1340,,
-95.74,,95.82,6,,,130240,0.08,,21128,1344,,
-96.36,,96.43,6,,,130976,0.07,,21139,1348,,
-96.36,0.10041200858540833,96.43,6,4096,-9.02899132668972,131136,0.07,0.6660295324400067,21439,1352,0.0001,-2.052594479173422
-96.98,,97.04,6,,,131264,0.06,,21441,1356,,
-97.37,,97.42,6,,,131584,0.05,,21448,1360,,
-97.37,,97.42,6,,,131968,0.05,,21454,1364,,
-97.37,,97.42,6,,,132512,0.05,,21465,1368,,
-97.73,,97.77,6,,,132960,0.04,,21472,1372,,
-97.73,0.10679973528021947,97.77,6,4160,-8.860659092664719,133440,0.04,0.6617803443223238,21776,1376,0.0001,-2.0846340283751488
-97.73,,97.77,6,,,134176,0.04,,21788,1380,,
-98.58,,98.61,6,,,134272,0.03,,21790,1384,,
-98.58,,98.61,6,,,134400,0.03,,21792,1388,,
-98.58,,98.61,6,,,134624,0.03,,21798,1392,,
-98.58,,98.61,6,,,135168,0.03,,21807,1396,,
-98.58,0.11235411040252075,98.61,6,4224,-8.863669902086258,135712,0.03,0.6575585519894958,22113,1400,0.0001,-2.1171139739453793
-98.58,,98.61,6,,,136160,0.03,,22121,1404,,
-97.95,,97.99,6,,,136416,0.04,,22125,1408,,
-97.77,,97.82,6,,,137056,0.05,,22136,1412,,
-97.77,0.10084647382609546,97.82,6,4288,-8.689073219895363,137472,0.05,0.6533637242391706,22439,1416,0.0001,-2.1493381671607494
-97.77,,97.82,6,,,137536,0.05,,22440,1420,,
-97.77,,97.82,6,,,137760,0.05,,22445,1424,,
-97.73,,97.78,6,,,138240,0.05,,22453,1428,,
-98.36,,98.4,6,,,138912,0.04,,22464,1432,,
-98.36,0.09695212548831478,98.4,6,4352,-8.487937822937965,139360,0.04,0.6491955919191241,22769,1436,0.0001,-2.181615401059389
-98.87,,98.9,6,,,139616,0.03,,22774,1440,,
-98.41,,98.45,6,,,140256,0.04,,22785,1444,,
-98.41,,98.45,6,,,140640,0.04,,22791,1448,,
-97.9,,97.95,6,,,140704,0.05,,22793,1452,,
-97.9,,97.95,6,,,140864,0.05,,22796,1456,,
-97.9,,97.95,6,,,141216,0.05,,22803,1460,,
-97.33,0.08977951784618199,97.39,6,4416,-8.29335705935955,141856,0.06,0.6450544809922576,23110,1464,0.0001,-2.2136770971119404
-97.33,,97.39,6,,,142336,0.06,,23118,1468,,
-97.33,,97.39,6,,,142784,0.06,,23125,1472,,
-97.33,,97.39,6,,,143072,0.06,,23131,1476,,
-97.33,0.09175161563325673,97.39,6,4480,-8.105977080762386,143840,0.06,0.6409393325448036,23441,1480,0.0001,-2.2462903298437595
-97.61,,97.66,6,,,143904,0.05,,23443,1484,,
-97.61,,97.66,6,,,144064,0.05,,23446,1488,,
-97.38,,97.43,6,,,144224,0.05,,23449,1492,,
-96.66,,96.72,6,,,145024,0.06,,23462,1496,,
-96.66,0.09715792909264565,96.72,6,4544,-7.936541803181171,145472,0.06,0.6368501940742135,23765,1500,0.0001,-2.2786562480032444
